task_name,sub_task,matched_skill,start_date,end_date
งานสำรวจพื้นที่สนามบิน,การสำรวจพื้นที่รอบสนามบิน,เซอร์เวย์,2024-01-01,2024-09-30
งานสำรวจพื้นที่สนามบิน,การทำแผนที่ภูมิประเทศ,เซอร์เวย์,2024-01-01,2024-09-30
งานสำรวจพื้นที่สนามบิน,การเก็บตัวอย่างดิน,โยธาชาย,2024-01-01,2024-06-30
งานสำรวจโครงสร้างดิน,การเก็บตัวอย่างดินฐานราก,โยธาชาย,2024-01-01,2024-06-30
งานสำรวจโครงสร้างดิน,การวิเคราะห์ความแข็งแรงดิน,โยธาชาย,2024-07-01,2025-03-31
งานสำรวจโครงสร้างดิน,การทำแผนที่โครงสร้างดิน,เซอร์เวย์,2024-07-01,2025-03-31
งานก่อสร้างรันเวย์,การปรับระดับพื้นรันเวย์,กรรมกรโครงสร้าง,2024-07-01,2026-12-31
งานก่อสร้างรันเวย์,การทำถนนแอสฟัลต์รันเวย์,กรรมกรโครงสร้าง,2025-01-01,2028-12-31
งานก่อสร้างรันเวย์,การติดตั้งระบบระบายน้ำรันเวย์,งานระบบ,2026-01-01,2027-12-31
งานก่อสร้างรันเวย์,การทำเครื่องหมายรันเวย์,ช่างสี,2028-01-01,2028-12-31
งานก่อสร้างโครงสร้างอาคารผู้โดยสาร,การก่อสร้างฐานคอนกรีตอาคาร,ช่างปูน,2024-07-01,2026-12-31
งานก่อสร้างโครงสร้างอาคารผู้โดยสาร,การติดตั้งโครงเหล็กอาคาร,ช่างเหล็ก,2025-01-01,2027-12-31
งานก่อสร้างโครงสร้างอาคารผู้โดยสาร,การเทคอนกรีตผนัง,ช่างปูน,2026-01-01,2028-06-30
งานก่อสร้างโครงสร้างอาคารผู้โดยสาร,การตรวจสอบความแข็งแรงโครงสร้าง,โยธาชาย,2028-07-01,2029-03-31
งานก่อสร้างที่จอดเครื่องบิน,การก่อสร้างฐานที่จอดเครื่องบิน,ช่างปูน,2025-01-01,2027-12-31
งานก่อสร้างที่จอดเครื่องบิน,การ铺พื้นคอนกรีตที่จอดเครื่องบิน,ช่างปูน,2026-01-01,2028-06-30
งานก่อสร้างที่จอดเครื่องบิน,การทำเครื่องหมายที่จอดเครื่องบิน,ช่างสี,2028-07-01,2029-03-31
งานก่อสร้างหอควบคุมจราจร,การก่อสร้างฐานหอควบคุม,ช่างปูน,2025-01-01,2027-06-30
งานก่อสร้างหอควบคุมจราจร,การติดตั้งโครงสร้างหอควบคุม,โครงสร้าง,2026-01-01,2028-06-30
งานก่อสร้างหอควบคุมจราจร,การทาสีหอควบคุม,ช่างสี,2028-07-01,2029-03-31
งานก่อสร้างรั้วรอบสนามบิน,การก่อสร้างรั้วคอนกรีต,ช่างปูน,2025-01-01,2027-12-31
งานก่อสร้างรั้วรอบสนามบิน,การติดตั้งลวดหนามบนรั้ว,กรรมกร,2027-01-01,2027-12-31
งานก่อสร้างรั้วรอบสนามบิน,การทาสีรั้วรอบสนามบิน,ช่างสี,2028-01-01,2028-12-31
งานก่อสร้างรั้วรอบสนามบิน,การตรวจสอบความแข็งแรงรั้ว,โยธาชาย,2028-01-01,2028-06-30
งานก่อสร้างทางเชื่อมอาคาร,การก่อสร้างทางเชื่อมคอนกรีต,ช่างปูน,2026-01-01,2028-06-30
งานก่อสร้างทางเชื่อมอาคาร,การติดตั้งราวกันตก,งานเหล็กราวบันได,2028-01-01,2028-12-31
งานก่อสร้างทางเชื่อมอาคาร,การทาสีทางเชื่อม,ช่างสี,2028-07-01,2029-03-31
งานติดตั้งระบบไฟฟ้า,การเดินสายไฟหลัก,ช่างไฟฟ้า,2025-01-01,2027-12-31
งานติดตั้งระบบไฟฟ้า,การติดตั้งตู้ควบคุมไฟฟ้า,ช่างไฟฟ้า,2026-01-01,2027-12-31
งานติดตั้งระบบไฟฟ้า,การติดตั้งสวิตช์ไฟ,ช่างไฟฟ้า,2027-01-01,2028-06-30
งานติดตั้งระบบไฟฟ้า,การทดสอบระบบไฟฟ้า,ช่างไฟฟ้า,2028-07-01,2029-03-31
งานติดตั้งระบบไฟส่องสว่างรันเวย์,การเดินสายไฟสำหรับไฟรันเวย์,ช่างไฟฟ้า,2026-01-01,2027-12-31
งานติดตั้งระบบไฟส่องสว่างรันเวย์,การติดตั้งไฟส่องสว่างรันเวย์,ช่างไฟฟ้า,2027-01-01,2028-06-30
งานติดตั้งระบบไฟส่องสว่างรันเวย์,การทดสอบระบบไฟรันเวย์,ช่างไฟฟ้า,2028-07-01,2029-03-31
งานติดตั้งระบบปรับอากาศ,การติดตั้งท่อลมเย็น,ช่างแอร์,2026-01-01,2028-06-30
งานติดตั้งระบบปรับอากาศ,การติดตั้งระบบระบายความร้อน,ช่างแอร์,2026-01-01,2028-06-30
งานติดตั้งระบบปรับอากาศ,การทดสอบระบบปรับอากาศ,ช่างแอร์,2028-07-01,2029-03-31
งานติดตั้งระบบประปา,การติดตั้งท่อประปาหลัก,ประปา,2026-01-01,2028-06-30
งานติดตั้งระบบประปา,การติดตั้งวาล์วควบคุมน้ำ,ประปา,2027-01-01,2028-06-30
งานติดตั้งระบบประปา,การทดสอบระบบประปา,ประปา,2028-07-01,2029-03-31
งานติดตั้งระบบระบายน้ำ,การติดตั้งท่อระบายน้ำ,ประปา,2026-01-01,2028-06-30
งานติดตั้งระบบระบายน้ำ,การทดสอบระบบระบายน้ำ,ประปา,2028-07-01,2029-03-31
งานติดตั้งระบบระบายน้ำ,การทำความสะอาดท่อระบายน้ำ,ประปา,2029-01-01,2029-06-30
งานติดตั้งระบบรักษาความปลอดภัย,การติดตั้งกล้องวงจรปิด,Protection งานติดตั้ง,2027-01-01,2028-12-31
งานติดตั้งระบบรักษาความปลอดภัย,การตั้งค่าระบบรักษาความปลอดภัย,Protection งานติดตั้ง,2028-07-01,2029-03-31
งานติดตั้งระบบรักษาความปลอดภัย,การทดสอบระบบแจ้งเตือน,Protection งานติดตั้ง,2028-07-01,2029-03-31
งานติดตั้งระบบลำเลียงสัมภาระ,การติดตั้งสายพานลำเลียง,งานระบบ,2027-01-01,2028-12-31
งานติดตั้งระบบลำเลียงสัมภาระ,การทดสอบระบบลำเลียงสัมภาระ,งานระบบ,2028-07-01,2029-03-31
งานติดตั้งระบบลำเลียงสัมภาระ,การบำรุงรักษาสายพาน,งานระบบ,2029-01-01,2029-06-30
งานติดตั้งระบบตรวจสอบสัมภาระ,การติดตั้งเครื่องสแกนสัมภาระ,Protection งานติดตั้ง,2027-01-01,2028-12-31
งานติดตั้งระบบตรวจสอบสัมภาระ,การทดสอบระบบสแกนสัมภาระ,Protection งานติดตั้ง,2028-07-01,2029-03-31
งานติดตั้งระบบตรวจสอบสัมภาระ,การบำรุงรักษาเครื่องสแกน,Protection งานติดตั้ง,2029-01-01,2029-06-30
งานติดตั้งระบบสื่อสารภายใน,การติดตั้งสายเคเบิลสื่อสาร,งานระบบ,2027-01-01,2028-12-31
งานติดตั้งระบบสื่อสารภายใน,การติดตั้งระบบสื่อสารภายใน,งานระบบ,2027-01-01,2028-12-31
งานติดตั้งระบบสื่อสารภายใน,การทดสอบระบบสื่อสาร,งานระบบ,2028-07-01,2029-03-31
งานติดตั้งระบบดับเพลิง,การติดตั้งถังเก็บน้ำดับเพลิง,ประปา,2027-01-01,2028-12-31
งานติดตั้งระบบดับเพลิง,การติดตั้งหัวฉีดดับเพลิง,ประปา,2027-01-01,2028-12-31
งานติดตั้งระบบดับเพลิง,การทดสอบระบบดับเพลิง,ประปา,2028-07-01,2029-03-31
งานติดตั้งประตูอัตโนมัติ,การติดตั้งประตูอัตโนมัติ,ช่างไฟฟ้า,2027-01-01,2028-12-31
งานติดตั้งประตูอัตโนมัติ,การทดสอบประตูอัตโนมัติ,ช่างไฟฟ้า,2028-07-01,2029-03-31
งานติดตั้งประตูอัตโนมัติ,การบำรุงรักษาประตูอัตโนมัติ,ช่างไฟฟ้า,2029-01-01,2029-06-30
งานติดตั้งป้ายบอกทางในสนามบิน,การติดตั้งป้ายบอกทาง,กรรมกรงานสถาปัตยกรรม,2028-01-01,2029-06-30
งานติดตั้งป้ายบอกทางในสนามบิน,การทาสีป้ายบอกทาง,ช่างสี,2028-07-01,2029-03-31
งานติดตั้งป้ายบอกทางในสนามบิน,การตรวจสอบป้ายบอกทาง,Staff,2029-01-01,2029-06-30
งานตกแต่งภายในอาคารผู้โดยสารสนามบิน,การติดตั้งผนังตกแต่งภายใน,งานสถาปัตย์,2028-01-01,2030-06-30
งานตกแต่งภายในอาคารผู้โดยสารสนามบิน,การทาสีผนังภายใน,ช่างสี,2029-01-01,2030-06-30
งานตกแต่งภายในอาคารผู้โดยสารสนามบิน,การติดตั้งพื้นลามิเนต,ช่างไม้,2028-07-01,2030-06-30
งานตกแต่งภายในอาคารผู้โดยสารสนามบิน,การติดตั้งฝ้าเพดาน,ช่างฝ้า,2028-07-01,2030-06-30
งานทาสีอาคารผู้โดยสาร,การทำความสะอาดพื้นผิวก่อนทาสี,กรรมกร,2028-01-01,2028-06-30
งานทาสีอาคารผู้โดยสาร,การทาสีผนังภายนอกอาคารผู้โดยสาร,ช่างสี,2028-07-01,2029-06-30
งานทาสีอาคารผู้โดยสาร,การเคลือบผนังป้องกันรอยขีดข่วน,ช่างสี,2029-01-01,2029-12-31
งานทาสีอาคารผู้โดยสาร,การติดตั้งสีป้องกันการลื่น,ช่างสี,2029-01-01,2029-12-31
งานทำความสะอาดพื้นที่ก่อสร้าง,การทำความสะอาดเศษวัสดุก่อสร้าง,กรรมกร,2029-01-01,2029-06-30
งานทำความสะอาดพื้นที่ก่อสร้าง,การเก็บกวาดพื้นที่ก่อสร้าง,กรรมกร,2029-01-01,2029-06-30
งานทำความสะอาดพื้นที่ก่อสร้าง,การกำจัดฝุ่นจากงานก่อสร้าง,กรรมกร,2029-01-01,2029-06-30
งานทำความสะอาดพื้นที่ก่อสร้าง,การล้างพื้นผิวคอนกรีต,กรรมกร,2029-01-01,2029-06-30
งานจัดสวนบริเวณสนามบิน,การปลูกต้นไม้รอบสนามบิน,กรรมกร,2029-01-01,2030-06-30
งานจัดสวนบริเวณสนามบิน,การตัดแต่งพุ่มไม้,กรรมกร,2029-07-01,2030-06-30
งานจัดสวนบริเวณสนามบิน,การติดตั้งระบบรดน้ำอัตโนมัติ,งานระบบ,2029-01-01,2030-06-30
งานบริหารจัดการความปลอดภัย,การฝึกอบรมความปลอดภัย,safety,2029-01-01,2030-06-30
งานบริหารจัดการความปลอดภัย,การตรวจสอบอุปกรณ์ความปลอดภัย,safety,2029-07-01,2030-06-30
งานบริหารจัดการความปลอดภัย,การจัดทำรายงานความปลอดภัย,safety,2029-07-01,2030-06-30
งานจัดการจราจรทางอากาศ,การตั้งค่าระบบควบคุมจราจร,ไม่สามารถจับคู่ได้,2027-01-01,2028-12-31
งานจัดการจราจรทางอากาศ,การติดตั้งจอแสดงผลจราจร,งานระบบ,2027-01-01,2028-12-31
งานจัดการจราจรทางอากาศ,การทดสอบระบบจราจรทางอากาศ,ไม่สามารถจับคู่ได้,2028-07-01,2029-03-31
งานทำความสะอาดอาคารผู้โดยสาร,nan,แม่บ้านทำความสะอาด,2029-07-01,2030-06-30
งานติดตั้งระบบระบายอากาศ,nan,ช่างแอร์,2027-01-01,2028-12-31
งานติดตั้งระบบเสียงประกาศ,nan,งานระบบ,2027-01-01,2028-12-31
งานสำรวจโครงสร้างอาคาร,nan,โยธาชาย,2024-07-01,2025-06-30
งานติดตั้งระบบกล้องวงจรปิด,nan,Protection งานติดตั้ง,2027-01-01,2028-12-31
งานก่อสร้างอาคารจอดรถ,nan,โครงสร้าง,2026-01-01,2028-12-31
งานติดตั้งระบบไฟสำรอง,nan,ช่างไฟฟ้า,2027-01-01,2028-12-31
งานก่อสร้างอาคารสำนักงาน,nan,โครงสร้าง,2026-01-01,2028-12-31
งานทาสีรันเวย์,nan,ช่างสี,2028-07-01,2029-06-30
งานติดตั้งระบบจัดการพลังงาน,nan,งานระบบ,2027-01-01,2028-12-31
งานสำรวจความปลอดภัยรันเวย์,nan,safety,2028-07-01,2029-03-31
งานติดตั้งระบบไวไฟทั่วพื้นที่,nan,งานระบบ,2027-01-01,2028-12-31
งานก่อสร้างทางเดินเชื่อม,nan,ช่างปูน,2026-01-01,2028-12-31
งานก่อสร้างศูนย์ฝึกอบรม,nan,โครงสร้าง,2026-01-01,2028-12-31
งานติดตั้งระบบไฟจราจร,nan,ช่างไฟฟ้า,2027-01-01,2028-12-31
งานติดตั้งลิฟต์โดยสาร,nan,งานระบบ,2027-01-01,2028-12-31
งานก่อสร้างจุดตรวจความปลอดภัย,nan,ช่างปูน,2026-01-01,2028-12-31
งานติดตั้งระบบป้ายดิจิทัล,nan,งานระบบ,2027-01-01,2028-12-31
งานติดตั้งระบบจัดการน้ำเสีย,nan,ประปา,2027-01-01,2028-12-31
งานก่อสร้างทางลาดสำหรับผู้พิการ,nan,ช่างปูน,2026-01-01,2028-12-31
งานบริหารจัดการจราจรพื้น,nan,Head Man,2029-01-01,2030-06-30
งานบริหารจัดการขยะ,nan,Staff,2029-01-01,2030-06-30
งานทาสีภายนอกอาคาร,nan,ช่างสี,2028-07-01,2029-06-30
งานติดตั้งระบบควบคุมอุณหภูมิ,nan,ช่างแอร์,2027-01-01,2028-12-31
